City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
350,palmer,42.1584,-72.3287,7.73,70,40,3.6,US,1735605260
351,yuzhno-kurilsk,44.0306,145.8556,-2.6,75,100,4.6,RU,1735605261
352,pacific grove,36.6177,-121.9166,14.06,84,0,5.36,US,1735605262
353,ambon,-3.6954,128.1814,29.08,79,40,1.03,ID,1735605264
354,al-hamdaniya,36.2715,43.3737,8.89,62,100,1.8,IQ,1735605265
355,moranbah,-22.0016,148.0466,29.82,48,0,1.96,AU,1735605266
356,richlands,37.0932,-81.7937,3.28,95,30,1.51,US,1735605267
357,saudarkrokur,65.7461,-19.6394,-17.27,87,5,2.99,IS,1735605268
358,minas de marcona,-15.2119,-75.1103,16.87,78,100,4.25,PE,1735605270
359,general jose de san martin,-26.5374,-59.3416,23.81,54,0,2.65,AR,1735605271
360,jining,35.405,116.5814,2.01,33,0,2.0,CN,1735605068
